message,"@timestamp"
"2026-04-13 15:49:09.358 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a17b0)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095340, rssi=-80, battery=3716, reserved=0, data=0201061AFF39060209C8046DB809C8044AB409C80468C509C80463BD840E}","Apr 13, 2026 @ 23:49:10.215"
"2026-04-13 15:48:34.233 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a2a90)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095309, rssi=-88, battery=3716, reserved=0, data=0201061AFF39060209C8044AB209C80468BE09C8046DB609C80463B9840E}","Apr 13, 2026 @ 23:48:35.220"
"2026-04-13 15:48:34.235 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-66), Beacon(mac=2504:1123, latitude=23.36806275, longitude=113.317077, rssi=-71), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-74), Beacon(mac=2504:1098, latitude=23.36799357, longitude=113.31701, rssi=-78)]","Apr 13, 2026 @ 23:48:35.220"
"2026-04-13 15:48:34.237  INFO 1 --- [621825994197491] c.r.mid.websocket.WebSocketService       : 发送位置: c300005b2294, 4:2, 113.3170546:23.3680337, null:null","Apr 13, 2026 @ 23:48:35.220"
"2026-04-13 15:48:19.558 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1123, latitude=23.36806275, longitude=113.317077, rssi=-67), Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-70), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-73), Beacon(mac=2504:1438, latitude=23.36795888, longitude=113.3171294, rssi=-75)]","Apr 13, 2026 @ 23:48:20.220"
"2026-04-13 15:48:19.556 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a17b0)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095289, rssi=-72, battery=3716, reserved=0, data=0201061AFF39060209C8046DB709C80463BD09C8059EB509C80468BA840E}","Apr 13, 2026 @ 23:48:20.219"
"2026-04-13 15:48:11.778 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 待解析AP(98487479eb50)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095290, rssi=-97, battery=3716, reserved=0, data=0201061AFF39060209C8046DB709C80463BD09C8059EB509C80468BA840E}","Apr 13, 2026 @ 23:48:12.238"
"2026-04-13 15:48:11.780 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1123, latitude=23.36806275, longitude=113.317077, rssi=-67), Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-70), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-73), Beacon(mac=2504:1438, latitude=23.36795888, longitude=113.3171294, rssi=-75)]","Apr 13, 2026 @ 23:48:12.238"
"2026-04-13 15:48:09.353 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1123, latitude=23.36806275, longitude=113.317077, rssi=-67), Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-70), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-73), Beacon(mac=2504:1438, latitude=23.36795888, longitude=113.3171294, rssi=-75)]","Apr 13, 2026 @ 23:48:10.215"
"2026-04-13 15:48:09.350 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a17b0)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095279, rssi=-79, battery=3716, reserved=0, data=0201061AFF39060209C8046DB709C80463BD09C8059EB509C80468BA840E}","Apr 13, 2026 @ 23:48:10.214"
