"@timestamp",message
"Apr 13, 2026 @ 23:26:10.109","2026-04-13 15:26:09.192 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 21个标签"
"Apr 13, 2026 @ 23:26:00.113","2026-04-13 15:25:59.188 DEBUG 1 --- [621825997692102] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 24个标签"
"Apr 13, 2026 @ 23:25:40.109","2026-04-13 15:25:39.142 DEBUG 1 --- [621825997692102] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 21个标签"
"Apr 13, 2026 @ 23:25:30.113","2026-04-13 15:25:29.176 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 21个标签"
"Apr 13, 2026 @ 23:25:20.113","2026-04-13 15:25:19.244 DEBUG 1 --- [621825997692102] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 21个标签"
"Apr 13, 2026 @ 23:25:10.102","2026-04-13 15:25:09.142 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 15个标签"
"Apr 13, 2026 @ 23:25:00.104","2026-04-13 15:24:59.151 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 17个标签"
"Apr 13, 2026 @ 23:24:50.107","2026-04-13 15:24:49.434 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 17个标签"
"Apr 13, 2026 @ 23:24:40.110","2026-04-13 15:24:39.173 DEBUG 1 --- [621825997692102] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 20个标签"
"Apr 13, 2026 @ 23:24:30.106","2026-04-13 15:24:29.133 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 18个标签"
"Apr 13, 2026 @ 23:24:20.110","2026-04-13 15:24:19.436 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 待解析的AP数据(9848747a17b0): 15个标签"
