"id","device_time","location_geom","floor","server_time","trackable_id","map_id","space_id","x","y","z","module_address","module_type","raw_map_id","placement","add_deque_time","pop_time","db_now_time"
4591867485,"2026-04-13 15:44:09.305+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:44:09.31+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:44:09.31+00","2026-04-13 15:44:10.022+00",NULL
4591861810,"2026-04-13 15:43:54.071+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:43:54.076+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:43:54.076+00","2026-04-13 15:43:55.022+00",NULL
4591856495,"2026-04-13 15:43:44.094+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:43:44.108+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:43:44.108+00","2026-04-13 15:43:45.023+00",NULL
4591852333,"2026-04-13 15:43:39.33+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:43:39.335+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:43:39.335+00","2026-04-13 15:43:40.023+00",NULL
4591854556,"2026-04-13 15:43:39.33+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:43:39.335+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:43:39.335+00","2026-04-13 15:43:40.023+00",NULL
4591849184,"2026-04-13 15:43:34.213+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:43:34.218+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:43:34.218+00","2026-04-13 15:43:35.022+00",NULL
4591851001,"2026-04-13 15:43:34.213+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:43:34.218+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:43:34.218+00","2026-04-13 15:43:35.022+00",NULL
4591846575,"2026-04-13 15:43:29.318+00","01010000A0E6100000155454FD4A545C403620425C395E37400000000000000000",2,"2026-04-13 15:43:29.325+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:43:29.326+00","2026-04-13 15:43:30.024+00",NULL
4591848904,"2026-04-13 15:43:29.318+00","01010000A0E6100000155454FD4A545C403620425C395E37400000000000000000",2,"2026-04-13 15:43:29.325+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:43:29.326+00","2026-04-13 15:43:30.024+00",NULL
4591835231,"2026-04-13 15:43:14.002+00","01010000A0E6100000155454FD4A545C403620425C395E37400000000000000000",2,"2026-04-13 15:43:14.007+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:43:14.007+00","2026-04-13 15:43:14.023+00",NULL
4591839482,"2026-04-13 15:43:14.002+00","01010000A0E6100000155454FD4A545C403620425C395E37400000000000000000",2,"2026-04-13 15:43:14.007+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:43:14.007+00","2026-04-13 15:43:14.023+00",NULL
4591820397,"2026-04-13 15:42:33.981+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:42:33.988+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:42:33.988+00","2026-04-13 15:42:34.028+00",NULL
4591821365,"2026-04-13 15:42:33.981+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:42:33.988+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:42:33.988+00","2026-04-13 15:42:34.028+00",NULL
